date,observers,plot.code,burn,severity,line.cover.cm,angle.degrees,shape,num.pieces,diameter1.width.cm,diameter2.height.cm,decay.class
7/5/2016,EK,DH28,D,FH,10,40,R,1,10,NA,2
7/5/2016,EK,DH28,D,FH,60,0,R,1,23,NA,3
7/5/2016,EK,DH28,D,FH,10,20,R,1,10,NA,2
7/5/2016,EK,DH28,D,FH,14,30,R,1,14,NA,2
7/5/2016,EK,DH28,D,FH,27,0,R,1,21,NA,3
7/5/2016,EK,DH28,D,FH,15,30,R,1,15,NA,1
7/5/2016,EK,DH28,D,FH,40,50,R,1,27,NA,3
7/5/2016,EK,DH28,D,FH,24,0,R,1,24,NA,3
7/5/2016,EK,DH28,D,FH,27,0,A,2,20,5,3
7/5/2016,EK,DH28,D,FH,20,0,R,1,16,NA,2
7/5/2016,EK,DH28,D,FH,40,0,R,1,20,NA,2
7/5/2016,EK,DH28,D,FH,10,0,R,1,10,NA,2
7/5/2016,EK,DH28,D,FH,100,0,R,1,40,NA,1
7/5/2016,EK,DH28,D,FH,43,30,R,1,30,NA,2
7/5/2016,EK,DH28,D,FH,23,0,R,1,20,NA,3
7/5/2016,EK,DH28,D,FH,26,0,R,1,26,NA,3
7/5/2016,EK,DH37,D,FH,26,0,R,1,20,NA,2
7/5/2016,EK,DH37,D,FH,15,0,R,1,15,NA,1
7/5/2016,EK,DH37,D,FH,10,0,R,1,10,NA,1
