year,site,treatment,ACLE,ACMI,AGAU,AGEX,AGGL,AGOX,AGSC,AGST,ALAE,ALGE,ANPA,ANROSE,ANROSU,ANSE,APIX,ARCA,ARDRA,ARFE,ARFR,ARLU,ARTX,BLTR,BOGR,BRAN,BRAX,BRIN,BROX,BRPO,BRYX,CAAQ,CAASC,CACA,CADO,CADU,CAMI,CAOB,CAPA,CAPEL,CAPET,CAPR,CARO,CASC,CASIM,CAST,CAUT,CAWO,CAXX,CAXX1,CAXX2,CEAR,CEBR,CEFO,CHSE,CIMA,CIPA,COSC,CRRU,DAFL,DAPA,DASP,DECA,DRYX,ELAC,ELAL,ELEL,ELPAL,ELTR,ELTRSU,ELTRTR,ELYX,EPCI,EQAR,EQLA,ERCA,ERFL,ERFO,ERSP,FEAR,FEID,FETH,FRVE,FUN,GABO,GAME,GEAM,GETR,GLGR,GLST,GNEX,HEVI,HIOD,HOBR,HYSC,IRMI,JUBA,JULO,JUNX,JUSA,KOMA,LALA,LEMI,LEPX,LEVI,LIC,LOAR,MAGL,MARX,MEAR,MIGL,MOFI,MUMI,MUMO,MURI,MUWR,OEFL,ORLU,OXVI,PASM,PERY,PHAL,PHPR,PLMA,POAM,POAN,POAV,POCO,PODI,PODO,POER,POFE,POHI,PONA,PONE,POOC,POPA,POPE,POPR,POPU,POTX,PRVU,PSMO,RACA,RACY,RAIN,RAMA,RANX,RONA,RORX,ROSI,ROSP,RUAC,SARH,SCPR,SEER,SELX,SICA,SISC,SOSI,SPAN,STCA,STEX,STLO,SYAS,TAOF,THFE,THIN,THMO,TOPA,TRLO,TRPR,TRRE,VECA,VEPE,VERX,VIAD,VIAMA,VIAMM
2002,RS2LE,LE,0,15,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,36,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,2,0,4,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,1,1,0,0,0,0,0,0,0,0
2002,RS3LE,LE,1,13,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,1,0,3,4,0,0,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,27,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,69,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,2,0,0,4,0,0,0,0,0,0
2002,RS4LE,LE,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,1,0,0,0,1,0,9,13,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,7,4,1,0,0,0,6,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,46,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0,2,0,0,0,0,0,0
2002,RS5LE,LE,0,5,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,2,0,0,2,0,15,0,0,2,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0,0,4,19,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,3,0,0,2,0,0,20,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,0,1,0,0,0,2,0,0
2002,RS6LE,LE,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,9,0,3,0,0,0,3,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,69,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,1,0,0,2,0,0,0,0,0,0
2002,RS1UE,UE,0,23,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,7,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,1,0,4,0,0,1,0,0,0,1,0,0,0,1,0,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,0,0,2,0,4,0,0,0,0,0,0
2002,RS2UE,UE,0,11,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,4,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,2,10,0,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0,5,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0
2002,RS3UE,UE,2,7,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,2,0,23,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,5,4,5,0,0,0,0,0,0,0,0,0,0,3,3,0,13,18,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,2,0,0,2,0,0,0,0,0,0
2002,RS4UE,UE,2,7,0,0,0,0,1,2,1,1,0,0,0,1,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5,0,0,4,0,3,0,0,0,4,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,14,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,4,8,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0
2002,RS5UE,UE,0,7,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,4,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,3,7,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,2,0,0,9,0,5,0,1,0,0,2,0,0,2,1,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0
