"live.dead","cover.burn","site","mean.dist","density"
"Both","Low","FL219",40.6,0.0606663592904463
"Both","Low","FL412",7.525,1.76598492290372
"Both","Low","FL417R",8.1,1.52415790275873
"Both","Low","FL422",5.55,3.24648973297622
"Both","Low","FL423",6.625,2.27839088643645
"Both","Low","FL43",7.4,1.82615047479912
"Both","Low","FL44",24.9,0.161287721165788
"Both","Low","FL45  ",5.675,3.10504764307477
"Both","Low","FL46",35.7428571428571,0.0782747103675972
"Both","Moderate","FM110",30.1,0.110374057681483
"Both","Moderate","FM203",47.2,0.0448865268600977
"Both","Moderate","FM204",43.1428571428571,0.0537257137844831
"Both","Moderate","FM205",26.2,0.145679156226327
"Both","Moderate","FM216",12.7,0.62000124000248
"Both","Moderate","FM413",7.475,1.78968915336518
"Both","Moderate","FM414",15.55,0.413560653839394
"Both","Moderate","FM418",59.8,0.0279638930213309
"Both","Moderate","FM419",17.4,0.330294622803541
"Both","Moderate","FM61",29.4333333333333,0.115430639652477
"Both","Moderate","FM62",72.3,0.019130371569207
"Both","Moderate","FM63",62.525,0.0255795322814497
"Both","Moderate","FM64",19.44,0.264610747006723
"Both","Moderate","FM65",44.0533333333333,0.051527900732255
"Both","Moderate","FM66",52.26,0.0366151813278979
"Both","Unburned","F105",12.45,0.645150884663151
"Both","Unburned","F300",2.15,21.6333153055706
"Both","Unburned","F301",2.9,11.8906064209275
"Both","Unburned","F302",2.6,14.792899408284
"Both","Unburned","F303",5.075,3.88264699458856
"Both","Unburned","F31",3.45,8.40159630329763
"Both","Unburned","F32",2.525,15.6847367905107
"Both","Unburned","F33",6.45,2.40370170061895
"Both","Unburned","F34",2.675,13.9750196523714
"Both","Unburned","F35",4.05,6.0966316110349
"Both","Unburned","F36",6.775,2.17861957217358
"Both","Unburned","F400",5.5,3.30578512396694
"Both","Unburned","F401",7.825,1.63316967612204
"Both","Unburned","F402",2.8,12.7551020408163
"Both","Unburned","F403",2.55,15.3787004998078
